"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Permiso de acceso"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Este permiso otorga acceso temporal a la nación soberana de Arstotzka."
"AccessPermitInner","NAME","NOMBRE"
"AccessPermitInner","NATIONALITY","NACIONALIDAD"
"AccessPermitInner","PURPOSE","MOTIVO"
"AccessPermitInner","HEIGHT","ALTURA"
"AccessPermitInner","PHYSICAL APPEARANCE","CARACTERÍSTICAS FÍSICAS"
"AccessPermitInner","ID NUMBER","Nº PASAPORTE"
"AccessPermitInner","DURATION","DURACIÓN"
"AccessPermitInner","WEIGHT","PESO"
"AccessPermitInner","ENTER BY","VÁLIDO HASTA"
"AccessPermitInner","Keep on person","Llévelo<br>siempre consigo"
"AccessPermitInner","Ministry of Admission","MDA"
"AsylumGrantInner","Arstotzka","Gobierno de Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","CONCESIÓN de ASILO"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Este permiso otorga acceso temporal<br>a la nación soberana de Arstotzka."
"AsylumGrantInner","NAT","PAÍS"
"AsylumGrantInner","ID#","NÚM."
"AsylumGrantInner","DOB","NAC."
"AsylumGrantInner","HT","ALT."
"AsylumGrantInner","WT","PES."
"AsylumGrantInner","Offer expires after","Concesión válida hasta el"
"AsylumGrantInner","Ministry of Admission","Ministerio de Admisiones"
"BizCardInnerFront","ENGINEERING","INGENIERÍA"
"BizCardInnerFront","Director","Director"
"BizCardInnerBack","WE NEED ENGINEERS","SE BUSCAN INGENIEROS"
"BizCardInnerBack","WILL BEAT .GOV PAY","PAGAMOS MÁS QUE EL"
"BizCardInnerBack","CONTACT NOW","GOBIERNO. ¡LLAME YA!"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Un hombre llamado <span>Dari Ludum</span> nos ha prometido un buen trabajo en Arstotzka a mi hermana y a mí."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Tengo miedo. ¿Y si nos quita el pasaporte y nos obliga a prostituirnos?"
"BrothelHelpInner","Please do something.","Por favor, ayúdeme. Está en la cola."
"BulletinInnerDiploTut","Diplomat","Diplomático"
"BulletinInnerDiploTut","Verification Procedure","Procedimiento de verificación"
"BulletinInnerDiploTut","Verify issuing country","Comprobar país de expedición"
"BulletinInnerDiploTut","Verify identity","Comprobar identidad"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Comprobar acceso diplomático a Arstotzka"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","A fin de señalar documentos no presentados, sírvase seleccionar tanto el mostrador como la entrada pertinente del Reglamento."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Conecte la información pertinente del Reglamento con toda información no válida a fin de habilitar nuevas opciones."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Si se descubre armamento o contrabando oculto, este debe vincularse a la entrada pertinente del Reglamento."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Seleccione pares de datos discordantes en el modo INSPECCIÓN para dar inicio al interrogatorio."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Toque y arrastre para ajustar su selección."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Preste atención a la nacionalidad del pasaporte."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Ministerio de Admisiones<br>de Arstotzka"
"BulletinInnerBoothTut","Inspector's Booth","Garita de inspección"
"BulletinInnerBoothTut","Shutter","Reja"
"BulletinInnerBoothTut","Counter","Mostrador"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Reglamento<br>Transcripción<br>Boletín<br>Hora y fecha"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Ministerio de Admisiones<br>de Arstotzka"
"BulletinInnerBoothTut2","Inspector's Booth","Garita de inspección"
"BulletinInnerBoothTut2","Shutter","Reja"
"BulletinInnerBoothTut2","Counter","Mostrador"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Transcripción<br>Reglamento<br>Peso<br>"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Boletín<br>Hora y fecha"
"BulletinInnerGunTut","Weapons Protocol","Uso del armamento"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","SI SUENA LA ALARMA:"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Abra el panel de<br>armamento con la llave."
"BulletinInnerGunTut","Select gun, aim and fire.","Elija un arma,<br>apunte y dispare."
"BulletinInnerGunTut","Time is short. Act fast.","Actúe con presteza"
"BulletinInnerFilerTut","Passport Confiscation","Decomiso del pasaporte"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Compruebe la región de residencia en el D.A.I."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Guarde el pasaporte en la gaveta de decomisos."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Si procediese el arresto de su portador, efectúese el decomiso con anterioridad."
"BulletinInnerCriminals","Ministry of Justice","Ministerio de Justicia"
"BulletinInnerCriminals","WANTED CRIMINALS","BUSCA Y CAPTURA"
"BulletinInnerNews","NEWS","NOTICIAS"
"BulletinPagesNote","CHECK ALL<br>PAGES","LÉASE AL<br>COMPLETO"
"CitationInner","M.O.A. CITATION","AMONESTACIÓN - MDA"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Autorización<br>Diplomática"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Este documento acredita al agente como diplomático de un estado miembro del Consejo de Naciones."
